Date,Date_Number,MJO Phase,Average specimens
10/1/2011,40817,6,1
10/11/2011,40827,8,18.625
10/12/2011,40828,8,17.375
10/13/2011,40829,8,37.18181818
10/15/2011,40831,1,39.23809524
10/16/2011,40832,1,46
10/17/2011,40833,1,2
10/25/2011,40841,2,2.5
10/26/2011,40842,2,6.333333333
10/27/2011,40843,2,15.33333333
10/28/2011,40844,2,4.888888889
11/1/2011,40848,3,88
11/3/2011,40850,3,17.77777778
11/8/2011,40855,5,9.375
11/9/2011,40856,6,2.636363636
11/10/2011,40857,7,3.571428571
11/19/2011,40866,1,1
11/21/2011,40868,2,3.888888889
11/22/2011,40869,2,12.22222222
11/23/2011,40870,2,6.375
12/1/2011,40878,4,3
12/2/2011,40879,4,18.1
12/5/2011,40882,4,4.769230769
12/6/2011,40883,5,4.142857143
12/7/2011,40884,5,3.5
12/19/2011,40896,4,2.5
12/20/2011,40897,4,2
1/11/2012,40919,6,3.333333333
1/12/2012,40920,6,3.666666667
1/15/2012,40923,6,2.2
1/16/2012,40924,6,1.5
1/17/2012,40925,6,1.25
1/24/2012,40932,5,1
1/25/2012,40933,5,2
1/26/2012,40934,5,1
1/27/2012,40935,6,2
2/6/2012,40945,7,1.666666667
2/7/2012,40946,7,1
2/9/2012,40948,8,2
2/12/2012,40951,8,2.833333333
2/27/2012,40966,2,6.5
3/6/2012,40974,4,1
3/7/2012,40975,4,1.5
3/8/2012,40976,4,1
3/9/2012,40977,4,1.8
3/20/2012,40988,6,8.5
3/21/2012,40989,6,2.75
3/22/2012,40990,7,1
4/3/2012,41002,7,2
4/4/2012,41003,7,3.666666667
4/5/2012,41004,7,1
4/6/2012,41005,8,5.125
4/17/2012,41016,3,9.545454545
4/18/2012,41017,3,2.625
4/19/2012,41018,3,1.166666667
5/1/2012,41030,8,1.333333333
5/2/2012,41031,8,5.833333333
5/3/2012,41032,8,7.8
5/4/2012,41033,8,12.3
5/15/2012,41044,7,18.23076923
5/16/2012,41045,7,3.555555556
5/17/2012,41046,7,14
6/19/2012,41079,1,1.333333333
6/20/2012,41080,1,4
6/21/2012,41081,1,6
6/22/2012,41082,8,7
6/26/2012,41086,1,6.2
